ativo; ultimoPreco;quantidade;oscilacao;tendencia;hora;qtdOfertaCompra;vlOfertaCompra;qtdOfertaVenda;vlOfertaVenda;qtdNegociada;volumeNegocios;negocios;statusPapel;precoTeoricoAbertura;qtdTeoricaAberrtura;dtCotacao;fechamentoAnterior;precoAbertura;precoMinimo;precoMedio;precoMaximo;dtFechamento;vlFechamento
BRKM6;;;;;;1000;25,00;100;60,00;;;;S;;;;50,40;;;;;29/01/2019;
BRKM3;53,50;1000;-0,02;;12:38:29;200;53,01;100;54,86;1100;58850;2;S;;;08/03/2019;53,51;53,50;53,50;53,50;53,50;07/03/2019;
BRKM5;54,77;100;0,50;=;14:19:23;500;54,75;800;54,77;595200;32493008;3822;S;;;08/03/2019;54,50;54,38;53,82;54,59;55,03;07/03/2019;
GBIO33;8,68;100;0,93;=;14:18:53;1100;8,68;100;8,69;52100;444571;297;S;;;08/03/2019;8,60;8,59;8,32;8,53;8,70;07/03/2019;
BIOM3;6,48;100;0,31;-;13:50:01;300;6,48;2000;6,56;30500;196638;97;S;;;08/03/2019;6,46;6,30;6,13;6,45;6,57;07/03/2019;
HAPV3;32,51;100;-0,31;=;14:18:55;1900;32,50;800;32,53;156100;5077004;1195;S;;;08/03/2019;32,61;32,47;32,45;32,52;32,83;07/03/2019;
QUAL3;15,49;100;3,96;-;14:19:10;900;15,49;1400;15,50;808800;12389112;4461;S;;;08/03/2019;14,90;14,86;14,79;15,32;15,73;07/03/2019;
FLRY3;19,75;100;2,01;+;14:19:23;500;19,74;1200;19,75;1708300;33483835;8795;S;;;08/03/2019;19,36;19,46;19,26;19,60;19,90;07/03/2019;
PARD3;20,12;100;3,18;=;14:19:24;300;20,12;1200;20,13;478600;9362631;551;S;;;08/03/2019;19,50;19,35;19,20;19,56;20,16;07/03/2019;
OFSA3;;;;;;100;32,06;100;32,31;;;;S;;;;32,40;;;;;07/03/2019;
ODPV3;16,05;200000;0,94;=;14:18:01;900;16,05;2200;16,06;531400;8528690;1943;S;;;08/03/2019;15,90;15,93;15,81;16,05;16,14;07/03/2019;
DASA3;28,51;100;-0,63;;12:08:41;100;28,51;100;29,50;100;2851;1;S;;;08/03/2019;28,69;28,51;28,51;28,51;28,51;07/03/2019;
GNDI3;33,34;100;-2,63;=;14:19:16;1000;33,34;2600;33,35;484900;16161620;3293;S;;;08/03/2019;34,24;34,26;32,85;33,33;34,26;07/03/2019;
AALR3;15,43;100;1,65;+;14:17:35;400;15,41;300;15,43;36100;553437;231;S;;;08/03/2019;15,18;15,14;15,06;15,33;15,52;07/03/2019;
DTCY3;;;;;;100;2,16;100;2,45;;;;S;;;;2,45;;;;;07/03/2019;
LIQO3;1,18;600;0,00;=;14:18:22;31100;1,18;12700;1,20;2995600;3549757;1061;S;;;08/03/2019;1,18;1,22;1,12;1,18;1,26;07/03/2019;
CARD3;7,14;100;-0,14;=;14:19:23;2200;7,13;600;7,15;48600;348213;260;S;;;08/03/2019;7,15;7,25;7,11;7,16;7,25;07/03/2019;
VLID3;19,75;100;4,77;-;14:19:19;400;19,74;100;19,76;376600;7336688;2449;S;;;08/03/2019;18,85;18,76;18,67;19,48;19,80;07/03/2019;
CIEL3;10,70;100;0,28;=;14:19:19;6600;10,70;11400;10,71;4882900;51942018;10979;S;;;08/03/2019;10,67;10,65;10,51;10,64;10,76;07/03/2019;
B3SA3;31,30;100;0,68;=;14:19:25;1100;31,30;2000;31,31;4862600;152259369;16098;S;;;08/03/2019;31,09;31,05;30,79;31,31;31,73;07/03/2019;
TKNO4;;;;;;;;100;48,00;;;;S;;;;35,18;;;;;16/01/2019;
PMAM3;1,48;500;0,00;=;14:19:25;174700;1,48;248600;1,49;1665100;2477085;1215;S;;;08/03/2019;1,48;1,47;1,47;1,49;1,50;07/03/2019;
MGEL4;;;;;;100;6,40;600;7,10;;;;S;;;;7,01;;;;;01/03/2019;
;;;;;;;;;;;;;;;;;;;;;;;
CSNA3;13,89;3000;-5,77;+;14:19:26;15900;13,88;4800;13,89;13522600;190439607;19100;S;;;08/03/2019;14,74;14,54;13,85;14,08;14,60;07/03/2019;
PATI3;;;;;;2000;20,00;100;22,50;;;;S;;;;21,51;;;;;01/03/2019;
FESA4;23,72;100;-11,66;+;14:18:38;100;23,70;100;23,72;730300;17290285;2448;S;;;08/03/2019;26,85;23,50;22,69;23,68;24,24;07/03/2019;
FESA3;;;;;;100;25,50;300;33,99;;;;S;;;;30,30;;;;;06/03/2019;
GOAU4;6,96;200;-0,57;+;14:19:20;21200;6,95;24700;6,96;4331900;30035464;4414;S;;;08/03/2019;7,00;6,98;6,88;6,93;6,99;07/03/2019;
GOAU3;7,24;200;-0,82;+;13:40:33;500;7,21;500;7,27;24600;177474;34;S;;;08/03/2019;7,30;7,30;7,12;7,21;7,30;07/03/2019;
PATI4;;;;;;100;25,50;200;33,89;;;;S;;;;33,50;;;;;21/02/2019;
GGBR3;11,97;100;-1,40;-;14:02:48;800;11,97;500;12,02;34200;410341;82;S;;;08/03/2019;12,14;12,10;11,96;12,00;12,10;07/03/2019;
GGBR4;14,56;100;-1,15;=;14:19:30;13200;14,55;14800;14,56;5721900;82948397;8896;S;;;08/03/2019;14,73;14,67;14,40;14,50;14,67;07/03/2019;
